0	['-105.38', '-105.38', '-184.72', '-181.70', '-129.80']	['-469.11', '-478.06', '-469.77', '-470.81', '-457.81']	['-801.61', '-801.61', '-769.11', '-790.21', '-771.80']	1601213521
1	['-66.61', '-66.61', '-198.85', '-213.43', '-141.01']	['-409.41', '-374.89', '-405.03', '-479.20', '-378.53']	['-906.75', '-702.08', '-609.46', '-906.75', '-788.61']	1601213521
2	['-68.17', '-68.17', '-120.47', '-195.90', '-84.98']	['-365.21', '-304.59', '-371.46', '-438.50', '-346.30']	['-781.23', '-586.35', '-603.74', '-740.36', '-781.23']	1601213521
3	['-35.09', '-35.09', '-130.80', '-188.72', '-111.42']	['-306.40', '-196.23', '-309.85', '-383.41', '-336.09']	['-701.11', '-576.89', '-559.67', '-701.11', '-587.29']	1601213521
4	['-57.34', '-63.90', '-155.81', '-66.35', '-57.34']	['-264.38', '-156.33', '-289.39', '-353.90', '-257.90']	['-573.27', '-369.46', '-503.30', '-573.27', '-538.24']	1601213521
5	['-30.79', '-41.01', '-116.33', '-44.54', '-30.79']	['-244.30', '-146.83', '-279.55', '-321.92', '-228.88']	['-553.36', '-298.74', '-545.73', '-553.36', '-533.66']	1601213521
6	['-28.43', '-41.06', '-60.30', '-63.66', '-28.43']	['-215.39', '-116.67', '-258.34', '-300.11', '-186.45']	['-719.16', '-273.52', '-525.54', '-719.16', '-384.01']	1601213521
7	['-20.91', '-46.89', '-51.68', '-58.06', '-20.91']	['-186.75', '-113.27', '-227.40', '-259.13', '-147.19']	['-602.74', '-223.46', '-434.07', '-602.74', '-473.37']	1601213521
8	['-20.79', '-41.69', '-57.62', '-52.17', '-20.79']	['-167.77', '-101.88', '-199.56', '-255.44', '-114.21']	['-610.11', '-213.97', '-383.66', '-610.11', '-294.74']	1601213521
9	['-15.97', '-34.50', '-63.01', '-48.51', '-15.97']	['-142.63', '-111.46', '-173.21', '-198.61', '-87.25']	['-556.79', '-234.80', '-337.56', '-556.79', '-254.38']	1601213521
10	['-11.26', '-29.76', '-29.63', '-58.25', '-11.26']	['-129.15', '-100.30', '-138.81', '-172.90', '-104.57']	['-357.22', '-233.23', '-354.68', '-356.51', '-357.22']	1601213521
11	['-15.10', '-27.12', '-24.91', '-48.45', '-15.10']	['-117.18', '-91.93', '-131.46', '-160.01', '-85.31']	['-382.64', '-216.12', '-295.02', '-382.64', '-198.03']	1601213521
12	['-13.64', '-28.50', '-35.39', '-50.80', '-13.64']	['-109.50', '-104.77', '-121.75', '-134.29', '-77.21']	['-358.14', '-257.79', '-296.45', '-358.14', '-257.68']	1601213521
13	['-14.11', '-34.75', '-34.62', '-46.19', '-14.11']	['-102.38', '-85.94', '-117.62', '-128.12', '-77.83']	['-326.50', '-165.08', '-245.85', '-326.50', '-213.46']	1601213521
14	['-7.06', '-32.22', '-32.75', '-47.76', '-7.06']	['-87.43', '-88.79', '-103.66', '-98.40', '-58.87']	['-273.32', '-209.22', '-221.68', '-273.32', '-218.12']	1601213521
15	['-10.56', '-28.45', '-16.45', '-43.77', '-10.56']	['-79.73', '-79.77', '-99.03', '-90.11', '-49.99']	['-230.18', '-230.18', '-221.59', '-202.98', '-158.15']	1601213521
16	['-8.20', '-24.64', '-26.69', '-38.89', '-8.20']	['-68.28', '-70.06', '-83.42', '-74.81', '-44.82']	['-219.72', '-168.06', '-171.53', '-161.66', '-219.72']	1601213521
17	['-7.63', '-25.64', '-24.86', '-35.03', '-7.63']	['-64.27', '-61.25', '-87.07', '-71.44', '-37.32']	['-224.39', '-124.08', '-224.39', '-197.23', '-162.34']	1601213521
18	['-1.67', '-28.07', '-25.01', '-38.74', '-1.67']	['-62.80', '-59.05', '-87.46', '-67.93', '-36.78']	['-207.07', '-183.41', '-207.07', '-188.71', '-174.90']	1601213521
